Country;Year;Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e)
Albania;2000;3.279.066;2.749.174.251;1.142.029.593
Albania;2001;407.559;2.673.223.578;1.078.778.905
Albania;2002;455.418;2.628.912.905;1.232.628.217
Albania;2003;5.024.066;2.668.262.231;1.248.327.529
Albania;2004;5.317.962;2.606.161.558;1.208.016.841
Albania;2005;5.126.918;2.601.400.885;1.214.316.153
Albania;2006;3.897.984;2.573.057.385;1.164.247.141
Albania;2007;4.071.564;2.593.533.886;1.226.728.129
Albania;2008;400.992;2.388.810.386;1.109.939.117
Albania;2009;3.966.294;2.305.576.886;1.113.200.105
Albania;2010;4.323.158;2.304.583.387;1.102.781.093
Albania;2011;4.560.548;2.311.153.774;1.146.634.026
Albania;2012;361.061;2.399.944.161;118.632.696
Algeria;1990;71.294.928;1.847.894.198;4.273.471.317
Algeria;1991;70.099.576;1.889.255.084;4.234.624.176
Algeria;1992;6.964.459;1.962.483.969;4.410.137.036
Algeria;1993;7.702.088;2.024.170.855;4.499.929.895
Algeria;1994;74.710.386;2.066.894.741;4.311.872.755
Algeria;1995;76.154.262;2.124.658.627;4.256.985.614
Algeria;1996;74.247.106;2.355.360.048;4.362.772.835
Algeria;1997;7.614.316;2.583.256.468;4.227.160.056
Algeria;1998;7.761.516;2.833.370.889;4.824.967.278
Algeria;1999;8.138.372;3.082.171.309;4.753.584.499
Algeria;2000;82.411.556;333.829.973;480.290.172
Algeria;2001;78.618.246;3.423.298.565;4.852.483.165
Algeria;2002;84.322.416;35.297.064;471.894.461
Algeria;2003;87.759.806;3.646.441.236;4.916.516.055
Algeria;2004;88.441.194;3.773.703.071;55.949.675
Algeria;2005;93.086.914;3.891.643.906;4.946.988.945
Algeria;2006;97.756.796;3.953.178.837;53.190.457
Algeria;2007;10.514.168;4.032.291.767;5.441.082.456
Algeria;2008;109.411.764;4.059.549.698;5.051.109.211
Algeria;2009;117.973.258;4.132.492.628;5.736.535.967
Algeria;2010;118.294.992;4.202.497.558;5.899.212.723
Algeria;2011;12.237.694;4.365.446.209;6.007.787.209
Algeria;2012;1.331.034.959;4.540.160.859;6.525.811.696
Angola;1990;4.684.921;3.982.238.816;1.834.483.005
Angola;1991;4.705.179;4.117.606.392;183.853.268
Angola;1992;46.848.934;4.253.786.968;1.843.588.355
Angola;1993;47.389.136;4.378.606.545;183.847.103
Angola;1994;47.171.072;4.511.942.121;1.833.691.705
Angola;1995;51.255.898;4.636.346.697;183.373.438
Angola;1996;51.663.508;4.967.124.259;1.904.004.372
Angola;1997;51.649.574;4.911.065.821;1.828.177.364
Angola;1998;52.128.052;5.448.518.382;2.117.972.355
Angola;1999;52.693.172;5.344.223.944;1.963.743.347
Angola;2000;53.112.578;5.146.714.506;1.866.745.339
Angola;2001;5.248.398;5.159.322.047;1.724.978.649
Angola;2002;54.735.584;5.679.970.589;176.284.396
Angola;2003;5.951.006;619.508.713;1.940.140.271
Angola;2004;61.015.252;6.761.198.671;2.049.101.581
Angola;2005;60.334.186;7.180.480.213;2.047.973.892
Angola;2006;60.133.878;7.712.761.311;18.460.596
Angola;2007;6.469.909;8.563.651.409;1.955.849.308
Angola;2008;64.783.678;9.303.538.507;1.889.961.016
Angola;2009;6.689.192;1.015.128.361;1.935.792.724
Angola;2010;69.028.226;109.949.787;2.022.515.431
Angola;2011;71.691.576;1.132.673.036;2.123.151.252
Angola;2012;6.915.901;1.114.465.201;1.899.732.072
Antigua & Barbuda;1990;0.281538;0.109114607;0.013181
Antigua & Barbuda;1991;0.270676;0.113303966;0.0133229
Antigua & Barbuda;1992;0.270826;0.117643325;0.0135048
Antigua & Barbuda;1993;0.285642;0.122142685;0.0139267
Antigua & Barbuda;1994;0.29312;0.126792044;0.0144286
Antigua & Barbuda;1995;0.304262;0.131251404;0.0149405
Antigua & Barbuda;1996;0.304412;0.135381551;0.0152924
Antigua & Barbuda;1997;0.319218;0.139521698;0.0157343
Antigua & Barbuda;1998;0.315704;0.143561845;0.0160162
Antigua & Barbuda;1999;0.33052;0.147661992;0.0163281
Antigua & Barbuda;2000;0.327006;0.151772139;0.01619
Antigua & Barbuda;2001;0.340426;0.154417156;0.01658876
Antigua & Barbuda;2002;0.358866;0.156732173;0.01688752
Antigua & Barbuda;2003;0.384634;0.159077191;0.01731628
Antigua & Barbuda;2004;0.403064;0.161322208;0.01735504
Antigua & Barbuda;2005;0.406848;0.163027226;0.0174738
Antigua & Barbuda;2006;0.425024;0.164956211;0.017538866
Antigua & Barbuda;2007;0.468992;0.167605197;0.017803932
Antigua & Barbuda;2008;0.479984;0.169944183;0.018218997
Antigua & Barbuda;2009;0.509296;0.171883169;0.018424063
Antigua & Barbuda;2010;0.523952;0.162172154;0.013169128
Antigua & Barbuda;2011;0.51296;0.164106972;0.013255881
Antigua & Barbuda;2012;0.58643;0.166031789;0.013312633
Argentina;1990;182.192.714;9.124.739.824;378.323.243
Argentina;1991;176.033.158;910.968.691;3.750.775.782
Argentina;1992;179.052.908;9.268.909.995;3.838.137.134
Argentina;1993;181.194.342;9.232.413.081;3.790.487.486
Argentina;1994;190.028.316;9.360.561.166;3.910.909.838
Argentina;1995;193.892.634;9.378.461.252;389.016.619
Argentina;1996;203.964.174;9.196.838.725;3.950.152.978
Argentina;1997;208.366.592;9.244.613.199;3.939.609.766
Argentina;1998;212.995.026;9.088.314.672;3.889.715.554
Argentina;1999;216.935.888;9.432.452.145;4.001.601.342
Argentina;2000;216.968.728;9.375.850.619;413.902.513
Argentina;2001;205.010.056;9.516.397.541;4.363.871.524
Argentina;2002;198.051.118;9.704.911.464;4.234.560.917
Argentina;2003;20.921.089;1.032.434.939;4.691.648.311
Argentina;2004;225.900.814;1.036.985.031;4.583.169.704
Argentina;2005;229.207.002;1.034.000.123;4.492.497.098
Argentina;2006;229.407.096;1.058.170.332;4.683.276.628
Argentina;2007;235.988.014;1.069.890.541;4.929.908.159
Argentina;2008;24.797.953;1.079.129.151;4.834.229.689
Argentina;2009;240.890.234;102.872.836;426.162.622
Argentina;2010;245.377.882;9.599.345.687;446.592.975
Argentina;2011;253.958.468;9.308.921.159;4.404.715.816
Argentina;2012;2.596.194.469;9.715.120.631;4.440.264.882
Armenia;1990;;;
Armenia;1991;;;
Armenia;1992;10.877.856;2.883.936.867;0.630904944
Armenia;1993;5.940.938;2.666.271.061;0.567964416
Armenia;1994;3.650.986;2.532.635.255;0.492443888
Armenia;1995;4.370.964;2.397.819.449;0.47681336
Armenia;1996;3.404.302;227.024.748;0.480951104
Armenia;1997;415.931;213.402.551;0.462708848
Armenia;1998;4.290.664;195.193.354;0.454476592
Armenia;1999;3.931.026;182.635.157;0.424904336
Armenia;2000;433.573;17.037.796;0.42789208
Armenia;2001;4.397.204;17.414.541;0.43116808
Armenia;2002;3.870.572;17.816.286;0.51275408
Armenia;2003;4.242.948;18.242.931;0.48843008
Armenia;2004;4.509.292;18.752.076;0.54176608
Armenia;2005;5.218.308;18.909.921;0.51824208
Armenia;2006;5.247;1.966.370.589;0.530955341
Armenia;2007;5.942.352;2.052.939.078;0.521358602
Armenia;2008;643.573;2.109.097.567;0.528111864
Armenia;2009;5.283.226;2.087.256.056;0.530875125
Armenia;2010;5.068.274;2.119.184.545;0.505568386
Armenia;2011;5.693.322;2.132.130.457;0.516494021
Armenia;2012;620.189;2.189.136.369;0.553819656
Australia;1990;282.655.488;1.342.599.851;8.157.859.488
Australia;1991;276.896.384;1.332.268.789;8.090.854.677
Australia;1992;280.163.414;1.310.308.326;7.985.555.866
Australia;1993;284.236.012;1.292.933.963;7.936.210.055
Australia;1994;290.744.146;13.049.655;7.929.257.244
Australia;1995;301.078.406;1.281.091.937;7.917.255.433
Australia;1996;31.139.905;1.240.886.411;7.372.058.309
Australia;1997;318.861.248;1.254.957.985;7.369.915.184
Australia;1998;338.465.438;1.266.606.259;776.178.906
Australia;1999;345.205.342;1.398.616.033;9.583.701.936
Australia;2000;35.111.413;1.444.196.206;1.029.049.381
Australia;2001;39.427.527;1.435.623.308;1.036.418.925
Australia;2002;398.799.828;140.999.381;9.879.570.693
Australia;2003;408.160.532;1.155.815.211;6.741.632.134
Australia;2004;420.423.282;1.250.823.413;8.291.335.575
Australia;2005;424.341.522;1.114.489.315;6.432.212.016
Australia;2006;408.300.896;1.294.539.769;8.297.042.082
Australia;2007;419.169.574;1.229.286.723;7.640.929.147
Australia;2008;422.896.992;1.100.415.777;6.123.169.213
Australia;2009;430.707.254;1.161.015.832;6.678.200.279
Australia;2010;424.150.276;1.052.054.586;5.452.393.345
Australia;2011;426.749.872;1.436.822.586;1.033.426.474
Australia;2012;4.263.362.564;1.449.053.086;1.038.072.414
Austria;1990;48.113.074;9.777.156.172;498.750.457
Austria;1991;50.250.758;9.591.753.469;4.938.655.319
Austria;1992;45.322.026;9.416.970.767;4.854.836.068
Austria;1993;45.572.008;9.298.478.065;4.831.426.817
Austria;1994;45.650.998;8.949.205.362;4.790.707.566
Austria;1995;48.343.962;872.259.266;4.791.588.314
Austria;1996;52.082.558;8.485.749.192;4.870.028.039
Austria;1997;51.325.506;8.235.275.725;4.875.817.764
Austria;1998;51.779.456;8.048.772.257;4.898.817.489
Austria;1999;50.175.076;782.213.879;4.892.697.214
Austria;2000;50.440.706;7.569.745.322;4.854.356.939
Austria;2001;50.464.508;7.396.612.327;4.728.137.859
Austria;2002;52.013.642;7.265.589.332;4.892.738.778
Austria;2003;57.156.282;7.102.476.337;5.553.569.697
Austria;2004;58.461.458;6.954.913.342;4.162.150.616
Austria;2005;5.948.398;6.830.740.347;4.042.051.536
Austria;2006;7.948.927;670.364.353;4.005.565.117
Austria;2007;77.241.752;6.591.866.712;3.929.198.699
Austria;2008;78.118.848;6.525.659.894;403.310.228
Austria;2009;70.925.258;6.385.403.076;3.982.815.861
Austria;2010;76.187.276;6.348.166.258;4.083.799.443
Austria;2011;74.567.778;6.347.224.206;4.126.148.187
Austria;2012;7.163.592.054;6.281.472.153;4.048.386.932
Azerbaijan;1990;;;
Azerbaijan;1991;;;
Azerbaijan;1992;47.213.626;1.282.130.856;2.499.356.397
Azerbaijan;1993;55.978.728;1.209.060.159;2.281.546.095
Azerbaijan;1994;50.076.896;1.133.638.462;2.172.035.793
Azerbaijan;1995;47.288.518;1.078.429.765;2.161.475.492
Azerbaijan;1996;4.220.207;1.127.555.168;2.078.702.853
Azerbaijan;1997;41.182.272;1.184.788.571;2.175.390.215
Azerbaijan;1998;41.935.438;1.239.659.975;2.196.547.577
Azerbaijan;1999;39.543.426;1.292.374.378;2.252.444.938
Azerbaijan;2000;40.540.318;1.344.494.781;22.652.923
Azerbaijan;2001;39.241.534;1.432.461.568;2.406.242.978
Azerbaijan;2002;3.902.788;1.507.614.354;2.555.283.656
Azerbaijan;2003;34.774.402;1.591.945.141;2.619.994.334
Azerbaijan;2004;35.978.276;1.671.771.927;2.740.375.012
Azerbaijan;2005;38.447.396;1.750.967.714;277.215.569
Azerbaijan;2006;35.101.004;2.023.110.636;2.852.265.404
Azerbaijan;2007;322.396;2.284.691.558;2.848.065.118
Azerbaijan;2008;34.541.968;2.546.654.481;3.024.704.833
Azerbaijan;2009;2.815.933;2.807.076.403;3.057.374.547
Azerbaijan;2010;26.821.916;3.071.550.326;3.040.254.261
Azerbaijan;2011;29.148.688;3.220.057.041;3.131.556.594
Azerbaijan;2012;3.208.434.342;3.371.179.756;3.219.348.927
The Bahamas;1990;0.646298;0.217097802;0.044214372
The Bahamas;1991;0.477754;0.219259971;0.043888623
The Bahamas;1992;0.485082;0.221782141;0.044642875
The Bahamas;1993;0.393482;0.22410431;0.043927127
The Bahamas;1994;0.38249;0.22639648;0.042761378
The Bahamas;1995;0.375162;0.229548649;0.04798563
The Bahamas;1996;0.36417;0.231603114;0.052352888
The Bahamas;1997;0.060058;0.233057578;0.048890146
The Bahamas;1998;0.375162;0.244562043;0.060297404
The Bahamas;1999;0.367834;0.246946507;0.053394662
The Bahamas;2000;0.36417;0.263840972;0.05710192
The Bahamas;2001;0.812862;0.212885855;0.034378588
The Bahamas;2002;0.82019;0.212830738;0.030725255
The Bahamas;2003;0.761566;0.189415621;0.020001923
The Bahamas;2004;0.96675;0.304540504;0.07604859
The Bahamas;2005;0.842174;0.261675387;0.051725258
The Bahamas;2006;152.056;0.236030167;0.039107578
The Bahamas;2007;1.542.544;0.234904947;0.037929898
The Bahamas;2008;104.424;0.336369727;0.084312218
The Bahamas;2009;1.637.808;0.256604507;0.045114538
The Bahamas;2010;2.462.208;0.225389287;0.028966857
The Bahamas;2011;1.901.616;0.345969753;0.086100245
The Bahamas;2012;383.606;0.24458022;0.035813632
Bahrain;1990;1.251.317;2.639.620.061;0.033750277
Bahrain;1991;1.204.317;2.710.348.246;0.034007108
Bahrain;1992;1.400.641;2.782.046.431;0.034783938
Bahrain;1993;14.933.424;2.853.074.616;0.034420769
Bahrain;1994;15.253.424;2.923.972.801;0.0345776
Bahrain;1995;15.488.768;2.994.250.985;0.034254431
Bahrain;1996;16.025.104;3.068.696.786;0.035869169
Bahrain;1997;16.454.112;3.142.062.587;0.036763907
Bahrain;1998;17.373.424;3.215.638.388;0.039768645
Bahrain;1999;17.482.994;3.289.464.189;0.037513383
Bahrain;2000;17.853.748;336.216.999;0.037638121
Bahrain;2001;18.403.738;3.429.619.695;0.038577374
Bahrain;2002;19.212.746;35.027.194;0.158046627
Bahrain;2003;19.885.722;3.568.249.105;0.04328588
Bahrain;2004;19.907.626;363.517.881;0.044145133
Bahrain;2005;22.673.486;3.703.518.515;0.072894386
Bahrain;2006;24.593.156;3.775.037.332;0.135379497
Bahrain;2007;24.934.626;384.563.615;0.055114609
Bahrain;2008;2.696.802;3.914.734.968;0.062549721
Bahrain;2009;273.148;3.986.353.786;0.057374832
Bahrain;2010;2.840.477;4.059.382.604;0.068569944
Bahrain;2011;28.457.486;4.125.858.895;0.05673861
Bahrain;2012;2.880.663;4.192.435.186;0.058637277
Bangladesh;1990;46.028.694;5.594.721.804;1.750.756.233
Bangladesh;1991;44.503.428;5.603.629.416;1.833.706.493
Bangladesh;1992;45.714.008;5.656.129.027;1.866.031.753
Bangladesh;1993;46.964.578;5.664.820.639;1.906.552.013
Bangladesh;1994;48.118.822;573.558.225;1.974.767.273
Bangladesh;1995;52.019.392;5.812.866.861;2.106.255.533
Bangladesh;1996;52.513.352;5.800.544.087;2.162.491.233
Bangladesh;1997;54.483.042;5.863.930.312;2.110.919.934
Bangladesh;1998;55.807.526;5.840.441.538;2.114.737.634
Bangladesh;1999;56.132.606;6.015.762.763;2.246.621.335
Bangladesh;2000;58.472.568;6.076.279.989;2.263.368.035
Bangladesh;2001;63.530.244;6.092.049.952;2.307.881.202
Bangladesh;2002;6.461.586;6.176.505.915;2.365.865.369
Bangladesh;2003;6.657.519;6.229.818.878;2.316.388.535
Bangladesh;2004;6.727.851;6.186.991.841;2.329.869.702
Bangladesh;2005;69.625.316;6.304.082.803;2.407.074.869
Bangladesh;2006;72.002.676;6.387.214.744;2.514.616.166
Bangladesh;2007;74.412.016;6.442.458.684;2.523.962.463
Bangladesh;2008;7.732.779;6.638.860.624;2.733.862.761
Bangladesh;2009;8.040.875;6.719.876.564;2.683.746.058
Bangladesh;2010;8.626.258;6.810.209.505;2.737.653.355
Bangladesh;2011;8.929.877;6.862.055.354;2.836.983.447
Bangladesh;2012;9.330.529;6.896.472.204;2.696.162.538
Barbados;1990;1.052.402;1.735.571.658;0.03952
Barbados;1991;1.184.306;1.762.170.546;0.03941
Barbados;1992;0.957138;1.789.289.434;0.03959
Barbados;1993;1.092.706;1.812.508.322;0.03818
Barbados;1994;0.72997;183.910.721;0.03805
Barbados;1995;0.806914;1.865.706.098;0.04107
Barbados;1996;0.828898;1.876.628.343;0.040766612
Barbados;1997;0.87653;1.884.000.587;0.039823224
Barbados;1998;1.118.354;1.893.592.832;0.037939837
Barbados;1999;118.797;1.901.915.077;0.036406449
Barbados;2000;1.165.986;1.910.117.322;0.035203061
Barbados;2001;1.207.852;1.912.203.766;0.034142249
Barbados;2002;121.518;1.914.210.209;0.025161438
Barbados;2003;1.259.148;1.916.616.653;0.025730626
Barbados;2004;1.281.132;1.918.873.097;0.038619815
Barbados;2005;1.339.756;1.920.919.541;0.028119003
Barbados;2006;1.370.336;1.926.501.148;0.026974789
Barbados;2007;1.425.296;1.933.302.756;0.025790575
Barbados;2008;1.623.152;1.942.934.363;0.028746361
Barbados;2009;1.619.488;1.952.945.971;0.022282147
Barbados;2010;1.513.232;1.961.877.578;0.022797933
Barbados;2011;1.564.528;1.967.883.969;0.025220666
Barbados;2012;131.158;1.974.600.359;0.027843399
Belarus;1990;;;
Belarus;1991;;;
Belarus;1992;125.379.862;1.668.456.686;1.231.293.092
Belarus;1993;74.926.582;1.598.587.402;1.195.305.977
Belarus;1994;61.738.648;1.531.399.119;1.140.023.862
Belarus;1995;52.451.332;1.457.172.835;1.130.629.747
Belarus;1996;5.352.579;1.415.459.192;1.132.869.174
Belarus;1997;5.247.912;1.404.262.549;1.136.443.601
Belarus;1998;49.728.648;1.413.486.906;1.125.968.028
Belarus;1999;47.882.144;1.414.752.263;1.118.232.455
Belarus;2000;47.956.034;1.375.795.619;1.102.805.882
Belarus;2001;4.096.549;1.384.661.394;1.101.815.362
Belarus;2002;4.420.364;1.476.867.168;1.100.815.842
Belarus;2003;43.650.324;1.414.196.942;1.097.370.321
Belarus;2004;45.709.074;1.429.225.716;1.122.888.801
Belarus;2005;44.647.434;146.714.949;115.939.528
Belarus;2006;4.185.465;1.508.035.715;1.207.916.145
Belarus;2007;3.926.122;1.536.308.939;1.193.006.009
Belarus;2008;39.360.186;1.568.928.163;1.249.290.873
Belarus;2009;36.767.338;1.621.525.388;1.270.837.738
Belarus;2010;39.546.534;1.663.681.612;1.252.977.602
Belarus;2011;40.292.806;1.665.874.337;130.682.329
Belarus;2012;4.543.036.786;1.678.120.061;1.287.287.979
Belgium;1990;;;
Belgium;1991;;;
Belgium;1992;;;
Belgium;1993;;;
Belgium;1994;;;
Belgium;1995;;;
Belgium;1996;;;
Belgium;1997;;;
Belgium;1998;;;
Belgium;1999;;;
Belgium;2000;122.645.078;9.250.852.509;8.562.130.624
Belgium;2001;122.071.232;8.987.924.066;8.271.645.145
Belgium;2002;114.619.166;8.542.595.624;9.112.799.665
Belgium;2003;122.052.514;8.078.727.181;8.746.114.186
Belgium;2004;118.039.002;7.788.488.738;8.560.478.707
Belgium;2005;115.584.532;7.572.580.296;8.259.233.227
Belgium;2006;113.760.256;7.414.836.158;8.157.228.235
Belgium;2007;110.037.298;7.214.312.021;8.099.023.242
Belgium;2008;113.948.398;7.109.977.884;8.306.298.249
Belgium;2009;104.769.466;7.055.283.747;8.097.533.256
Belgium;2010;113.276.924;695.280.961;8.117.048.263
Belgium;2011;114.109.412;6.919.402.243;8.135.692.475
Belgium;2012;1.082.023.931;6.836.344.876;8.123.806.688
Belize;1990;535.181;5.066.910.062;0.159862337
Belize;1991;5.393.952;5.197.382.666;0.159095775
Belize;1992;5.389.938;5.347.995.271;0.165859214
Belize;1993;5.411.572;5.471.167.875;0.160682652
Belize;1994;5.407.558;5.609.200.479;0.15794609
Belize;1995;5.410.862;5.723.063.083;0.151299528
Belize;1996;5.345.236;5.885.934.117;0.152731667
Belize;1997;5.405.774;6.029.695.151;0.148713806
Belize;1998;5.408.534;6.248.276.185;0.177865945
Belize;1999;5.634.266;637.780.722;0.168868084
Belize;2000;5.717.072;6.553.578.254;0.180710223
Belize;2001;5.715.366;6.668.261.991;0.152241309
Belize;2002;53.558;6.823.765.729;0.211452396
Belize;2003;54.838;7.149.159.466;0.330533482
Belize;2004;5.392.462;7.176.013.203;0.154044569
Belize;2005;5.511.582;7.436.806.941;0.197845655
Belize;2006;5.458.292;7.561.804.639;0.161686386
Belize;2007;555.969;7.878.582.338;0.212607116
Belize;2008;5.531.002;8.030.200.036;0.187397847
Belize;2009;5.484.502;8.178.977.734;0.199758578
Belize;2010;5.547.684;8.358.255.433;0.172209308
Belize;2011;5.559.924;8.648.658.495;0.236465713
Belize;2012;566.267;8.690.191.558;0.181592118
Benin;1990;15.251.814;2.955.106.663;2.161.727.414
Benin;1991;15.138.316;2.965.424.144;2.180.965.078
Benin;1992;1.517.021;2.982.981.624;2.204.852.741
Benin;1993;15.239.726;2.980.349.105;2.225.150.405
Benin;1994;15.217.642;3.100.616.586;2.325.848.069
Benin;1995;15.286.176;2.958.934.067;2.271.685.732
Benin;1996;15.856.156;3.094.646.101;2.327.006.504
Benin;1997;16.025.448;3.083.438.136;2.393.087.276
Benin;1998;16.075.348;3.670.370.171;2.698.158.049
Benin;1999;16.205.258;3.468.842.206;2.610.968.821
Benin;2000;16.310.806;342.734.424;2.655.989.593
Benin;2001;12.374.366;3.066.935.253;2.382.485.462
Benin;2002;12.654.806;3.571.796.265;2.904.191.332
Benin;2003;12.905.246;3.393.157.278;2.534.427.202
Benin;2004;13.065.686;337.394.829;2.431.543.071
Benin;2005;13.306.126;3.886.429.302;3.016.948.941
Benin;2006;14.491.132;3.586.519.337;2.605.269.806
Benin;2007;15.060.774;3.631.939.371;2.690.470.672
Benin;2008;15.085.456;3.607.009.405;2.592.941.537
Benin;2009;15.435.786;359.917.944;2.637.322.403
Benin;2010;15.749.476;3.576.149.474;2.591.533.268
Benin;2011;15.638.366;3.649.279.334;2.603.360.512
Benin;2012;1.548.932;3.561.819.194;2.659.497.756
Bhutan;1990;-223.204;0.499198153;0.122755394
Bhutan;1991;-5.964.036;0.489906031;0.121355834
Bhutan;1992;-594.755;0.465253909;0.115366274
Bhutan;1993;-5.997.006;0.465721787;0.117226713
Bhutan;1994;-5.987.848;0.470119665;0.118377153
Bhutan;1995;-5.967.698;0.508237543;0.128387593
Bhutan;1996;-5.932.882;0.493506035;0.125088074
Bhutan;1997;-5.857.772;0.495514526;0.125888556
Bhutan;1998;-588.159;0.508843017;0.130149037
Bhutan;1999;-5.894.406;0.544101509;0.139349519
Bhutan;2000;-5.899.904;0.4889;0.11854
Bhutan;2001;-7.608.636;0.459914918;0.111930168
Bhutan;2002;-7.607.184;0.439789835;0.110690336
Bhutan;2003;-7.675.348;0.448254753;0.112690505
Bhutan;2004;-7.772.824;0.454009671;0.117160673
Bhutan;2005;-7.712.738;0.498754588;0.125190841
Bhutan;2006;-8.328.432;0.484867441;0.119656839
Bhutan;2007;-8.360.242;0.554120294;0.148762837
Bhutan;2008;-8.366.404;0.455923147;0.118238835
Bhutan;2009;-8.427.516;0.464866;0.119024834
Bhutan;2010;-8.360.398;0.487678853;0.124260832
Bhutan;2011;-8.318.928;0.466363017;0.118423885
Bhutan;2012;-859.056;0.48935718;0.130406938
Bolivia;1990;83.011.084;1.549.522.475;7.107.850.176
Bolivia;1991;83.045.134;1.587.756.679;7.242.272.298
Bolivia;1992;84.153.798;1.635.859.883;7.362.684.419
Bolivia;1993;85.077.206;1.681.095.087;750.022.654
Bolivia;1994;86.286.866;173.131.129;7.672.178.662
Bolivia;1995;85.602.454;1.780.468.494;7.821.600.783
Bolivia;1996;85.172.528;1.750.821.891;772.719.197
Bolivia;1997;85.250.544;1.796.859.287;8.061.343.157
Bolivia;1998;85.753.226;1.824.677.683;8.404.174.343
Bolivia;1999;85.156.562;219.660.608;1.018.399.553
Bolivia;2000;85.489.294;1.633.533.476;7.364.826.717
Bolivia;2001;84.653.026;1.446.303.555;6.275.535.124
Bolivia;2002;85.263.718;1.663.977.635;7.305.533.531
Bolivia;2003;8.609.119;1.737.636.714;7.534.561.938
Bolivia;2004;86.687.096;2.824.456.793;1.260.828.034
Bolivia;2005;87.498.384;2.368.167.872;1.056.088.875
Bolivia;2006;98.605.788;2.047.752.737;8.922.121.346
Bolivia;2007;99.575.998;2.312.244.602;1.006.751.394
Bolivia;2008;10.068.122;2.039.667.467;8.711.976.534
Bolivia;2009;101.410.368;1.929.537.331;8.034.079.128
Bolivia;2010;102.789.682;3.568.746.196;1.633.733.172
Bolivia;2011;104.231.204;2.523.017.232;107.832.414
Bolivia;2012;10.401.826;2.250.134.267;9.911.761.079
Bosnia & Herzegovina;1990;;;
Bosnia & Herzegovina;1991;;;
Bosnia & Herzegovina;1992;1.587.674;2.999.448.748;0.852897064
Bosnia & Herzegovina;1993;230.297;2.931.491.982;0.821880022
Bosnia & Herzegovina;1994;-7.713.028;2.797.845.216;0.773302979
Bosnia & Herzegovina;1995;-7.483.986;2.573.928.449;0.736155937
Bosnia & Herzegovina;1996;-6.655;2.598.567.649;0.873165465
Bosnia & Herzegovina;1997;-2.428.132;2.969.926.848;1.148.544.993
Bosnia & Herzegovina;1998;-0.149796;3.249.086.047;1.526.674.522
Bosnia & Herzegovina;1999;-0.308896;3.475.435.246;176.116.405
Bosnia & Herzegovina;2000;314.463;3.763.014.445;2.000.983.579
Bosnia & Herzegovina;2001;13.787.914;3.698.431.896;1.858.113.681
Bosnia & Herzegovina;2002;14.579.436;3.700.839.346;1.825.893.783
Bosnia & Herzegovina;2003;15.042.804;3.918.256.797;1.787.883.885
Bosnia & Herzegovina;2004;15.615.388;3.954.934.247;1.925.893.987
Bosnia & Herzegovina;2005;1.627.869;4.045.031.697;1.845.974.089
Bosnia & Herzegovina;2006;17.978.498;4.181.054.924;1.799.006.553
Bosnia & Herzegovina;2007;19.003.166;417.789.815;1.772.389.017
Bosnia & Herzegovina;2008;20.755.554;4.136.611.376;1.666.631.481
Bosnia & Herzegovina;2009;20.410.044;4.163.744.603;1.966.743.945
